epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1905.4,0.45383,0.55046,0.95791,0.65706,0.65914,0.67089,0.59653,0.57507,0.88281,1.05638,0.000226497,0.000226497,0.000226497
87,1926.89,0.46155,0.56966,0.98467,0.76183,0.57228,0.68785,0.60757,0.54994,0.84668,1.01367,0.000212349,0.000212349,0.000212349
88,1948.87,0.44563,0.55108,0.95664,0.90673,0.52868,0.67977,0.60083,0.57133,0.85756,1.03656,0.000198202,0.000198202,0.000198202
89,1970.49,0.43199,0.52688,0.95507,0.90752,0.53611,0.6611,0.59082,0.58432,0.88683,1.05802,0.000184055,0.000184055,0.000184055
90,1992.33,0.46274,0.54529,0.96543,0.92639,0.51435,0.63812,0.55927,0.62515,0.93,1.06417,0.000169908,0.000169908,0.000169908
91,2015.27,0.34466,0.51616,0.86932,0.87078,0.55414,0.64807,0.57799,0.5869,0.87425,1.06518,0.000155761,0.000155761,0.000155761
92,2035.9,0.33059,0.46318,0.86972,0.87982,0.55133,0.65284,0.58896,0.56778,0.84157,1.03396,0.000141614,0.000141614,0.000141614
93,2056.98,0.322,0.44442,0.84401,0.77557,0.60362,0.66668,0.59876,0.57544,0.86893,1.02429,0.000127467,0.000127467,0.000127467
94,2078.8,0.31355,0.4422,0.83826,0.89096,0.60811,0.67845,0.59978,0.58188,0.85075,1.02888,0.00011332,0.00011332,0.00011332
95,2100.14,0.3261,0.46129,0.84124,0.864,0.62269,0.68253,0.59687,0.59123,0.83133,1.04583,9.91726e-05,9.91726e-05,9.91726e-05
96,2121.1,0.3305,0.44295,0.84553,0.95131,0.59052,0.69512,0.60183,0.58172,0.82239,1.05238,8.50255e-05,8.50255e-05,8.50255e-05
